",""timestamp"",""group"",""disengaged"",""looking"",""talking"",""intTech"",""intRes"",""intExt"",""Accessed"",""Create"",""Open"",""Update"""
"1,""2017-10-18 10:15:16"",""1AB"",""0"",""0"",""1"",""1"",""0"",""0"",""2"",""0"",""0"",""0"""
"2,""2017-10-18 10:20:11"",""1AB"",""0"",""0"",""1"",""1"",""0"",""0"",""6"",""8"",""11"",""0"""
"3,""2017-10-18 10:25:04"",""1AB"",""0"",""0"",""1"",""0.5"",""1"",""1"",""0"",""0"",""0"",""0"""
"4,""2017-10-18 10:30:19"",""1AB"",""0"",""0.5"",""1"",""0.5"",""1"",""0.5"",""3"",""2"",""0"",""0"""
"5,""2017-10-18 10:35:21"",""1AB"",""0"",""0.5"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"""
"6,""2017-10-18 10:40:15"",""1AB"",""0.5"",""0.5"",""1"",""1"",""0"",""0"",""0"",""0"",""0"",""0"""
"7,""2017-10-18 10:45:03"",""1AB"",""0.5"",""0.5"",""1"",""1"",""1"",""0.5"",""12"",""6"",""12"",""18"""
"8,""2017-10-18 10:50:28"",""1AB"",""0"",""0.5"",""1"",""1"",""1"",""1"",""0"",""1"",""0"",""3"""
"9,""2017-10-18 10:55:23"",""1AB"",""1"",""0.5"",""1"",""1"",""0"",""0.5"",""1"",""2"",""0"",""6"""
"10,""2017-10-18 11:00:04"",""1AB"",""0.5"",""0.5"",""1"",""1"",""0"",""0.5"",""0"",""0"",""0"",""0"""
"11,""2017-10-18 11:04:56"",""1AB"",""0.5"",""0.5"",""1"",""1"",""0.5"",""0"",""0"",""0"",""0"",""0"""
"12,""2017-10-18 11:10:23"",""1CD"",""0"",""0"",""0"",""1"",""0"",""0"",""2"",""0"",""0"",""0"""
"13,""2017-10-18 11:15:11"",""1CD"",""0"",""0"",""1"",""0.5"",""0.5"",""0"",""6"",""7"",""1"",""0"""
"14,""2017-10-18 11:20:09"",""1CD"",""1"",""0"",""1"",""0.5"",""0"",""0.5"",""0"",""2"",""0"",""0"""
"15,""2017-10-18 11:25:03"",""1CD"",""1"",""0"",""1"",""0.5"",""0.5"",""0"",""5"",""6"",""2"",""2"""
"16,""2017-10-18 11:29:46"",""1CD"",""0"",""0.5"",""1"",""0.5"",""1"",""0"",""14"",""2"",""7"",""7"""
"17,""2017-10-18 11:35:05"",""1CD"",""1"",""0"",""1"",""0.5"",""1"",""1"",""18"",""0"",""0"",""0"""
"18,""2017-10-18 11:39:33"",""1CD"",""1"",""1"",""1"",""0.5"",""1"",""1"",""7"",""0"",""4"",""2"""
"19,""2017-10-18 11:44:42"",""1CD"",""1"",""0.5"",""1"",""1"",""0"",""1"",""0"",""1"",""0"",""6"""
