Index;timestamp;group;disengaged;looking;talking;intTech;intRes;intExt;Accessed;Create;Open;Update
0;18/10/2017 10:15;1AB;0;0;1;1;0;0;2;0;0;0
1;18/10/2017 10:20;1AB;0;0;1;1;0;0;6;8;11;0
2;18/10/2017 10:25;1AB;0;0;1;0.5;1;1;0;0;0;0
3;18/10/2017 10:30;1AB;0;0.5;1;0.5;1;0.5;3;2;0;0
4;18/10/2017 10:35;1AB;0;0.5;1;1;0;0;0;0;0;0
5;18/10/2017 10:40;1AB;0.5;0.5;1;1;0;0;0;0;0;0
6;18/10/2017 10:45;1AB;0.5;0.5;1;1;1;0.5;12;6;12;18
7;18/10/2017 10:50;1AB;0;0.5;1;1;1;1;0;1;0;3
8;18/10/2017 10:55;1AB;1;0.5;1;1;0;0.5;1;2;0;6
9;18/10/2017 11:00;1AB;0.5;0.5;1;1;0;0.5;0;0;0;0
10;18/10/2017 11:04;1AB;0.5;0.5;1;1;0.5;0;0;0;0;0
11;18/10/2017 11:10;1CD;0;0;0;1;0;0;2;0;0;0
12;18/10/2017 11:15;1CD;0;0;1;0.5;0.5;0;6;7;1;0
13;18/10/2017 11:20;1CD;1;0;1;0.5;0;0.5;0;2;0;0
14;18/10/2017 11:25;1CD;1;0;1;0.5;0.5;0;5;6;2;2
15;18/10/2017 11:29;1CD;0;0.5;1;0.5;1;0;14;2;7;7
16;18/10/2017 11:35;1CD;1;0;1;0.5;1;1;18;0;0;0
17;18/10/2017 11:39;1CD;1;1;1;0.5;1;1;7;0;4;2
18;18/10/2017 11:44;1CD;1;0.5;1;1;0;1;0;1;0;6
19;18/10/2017 11:45;1CD;1;1;0;0;0;0;0;1;0;6
20;18/10/2017 12:09;1GF;0;0;1;1;0;1;10;12;29;34
21;18/10/2017 12:12;1GF;0;1;1;1;1;1;0;0;12;21
22;18/10/2017 12:16;1GF;0;0;1;1;1;0.5;0;1;1;10
23;18/10/2017 12:22;1GF;0;0.5;0;1;0;1;0;0;0;8
24;18/10/2017 12:32;1GF;0;1;1;1;1;1;10;12;47;25
25;18/10/2017 12:39;1GF;0;1;1;1;1;0;1;1;0;14
26;18/10/2017 12:47;1GF;0;0;1;1;0;1;6;4;0;0
27;18/10/2017 13:02;1HI;0;0.5;1;1;1;1;0;2;0;0
28;18/10/2017 13:09;1HI;0;0;1;1;1;1;0;0;0;0
29;18/10/2017 13:15;1HI;0;1;1;1;1;0.5;13;0;17;13
