,Unnamed: 0,timestamp,group,disengaged,looking,talking,intTech,intRes,intExt,Accessed,Create,Open,Update
0,1,2017-10-18 10:15:16,1AB,0.0,0.0,1.0,1.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0
1,2,2017-10-18 10:20:11,1AB,0.0,0.0,1.0,1.0,0.0,0.0,0.2608695652173913,0.6153846153846154,0.23404255319148937,0.0
2,3,2017-10-18 10:25:04,1AB,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0
3,4,2017-10-18 10:30:19,1AB,0.0,0.5,1.0,0.5,1.0,0.5,0.13043478260869565,0.15384615384615385,0.0,0.0
4,5,2017-10-18 10:35:21,1AB,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,2017-10-18 10:40:15,1AB,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,2017-10-18 10:45:03,1AB,0.5,0.5,1.0,1.0,1.0,0.5,0.5217391304347826,0.46153846153846156,0.2553191489361702,0.36
7,8,2017-10-18 10:50:28,1AB,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.07692307692307693,0.0,0.06
8,9,2017-10-18 10:55:23,1AB,1.0,0.5,1.0,1.0,0.0,0.5,0.043478260869565216,0.15384615384615385,0.0,0.12
9,10,2017-10-18 11:00:04,1AB,0.5,0.5,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0
10,11,2017-10-18 11:04:56,1AB,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
11,12,2017-10-18 11:10:23,1CD,0.0,0.0,0.0,1.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0
12,13,2017-10-18 11:15:11,1CD,0.0,0.0,1.0,0.5,0.5,0.0,0.2608695652173913,0.5384615384615385,0.02127659574468085,0.0
13,14,2017-10-18 11:20:09,1CD,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.15384615384615385,0.0,0.0
14,15,2017-10-18 11:25:03,1CD,1.0,0.0,1.0,0.5,0.5,0.0,0.21739130434782608,0.46153846153846156,0.0425531914893617,0.04
15,16,2017-10-18 11:29:46,1CD,0.0,0.5,1.0,0.5,1.0,0.0,0.6086956521739131,0.15384615384615385,0.14893617021276595,0.14
16,17,2017-10-18 11:35:05,1CD,1.0,0.0,1.0,0.5,1.0,1.0,0.7826086956521738,0.0,0.0,0.0
17,18,2017-10-18 11:39:33,1CD,1.0,1.0,1.0,0.5,1.0,1.0,0.30434782608695654,0.0,0.0851063829787234,0.04
18,19,2017-10-18 11:44:42,1CD,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.07692307692307693,0.0,0.12
19,20,2017-10-18 11:45:53,1CD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.12
20,21,2017-10-18 12:09:36,1GF,0.0,0.0,1.0,1.0,0.0,1.0,0.43478260869565216,0.9230769230769231,0.6170212765957447,0.68
21,22,2017-10-18 12:12:27,1GF,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2553191489361702,0.42
22,23,2017-10-18 12:16:45,1GF,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.07692307692307693,0.02127659574468085,0.2
23,24,2017-10-18 12:22:50,1GF,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.16
24,25,2017-10-18 12:32:37,1GF,0.0,1.0,1.0,1.0,1.0,1.0,0.43478260869565216,0.9230769230769231,1.0,0.5
